ASSESSMENT_YEAR,COUNTY_NUMBER,PARCEL_NUMBER,BUILDING_NUMBER,FLOOR_NUMBER,SECTION_LETTER_OR_NUMBER,PRICING_KEY,USE_CODE,SQUARE_FOOT_AREA,SQUARE_FOOT_RATE,FRAMING_TYPE,WALL_TYPE,WALL_HEIGHT,HEATING_AC_VALUE_ADJUSTMENT,SPRINKLER_VALUE_ADJUSTMENT,AVERAGE_DEPTH_FOR_STRIP_RETAIL,INDIVIDUALLY_OWNED_UNIT,INDIVIDUALLY_OWNED_UNIT_SIZE,CONFIGURATION_CODE,NUMBER_OF_UNITS,AVERAGE_UNIT_SIZE,IMPROVEMENT_INSTANCE_NUMBER,BUILDING_INSTANCE_NUMBER,BUILDING_DETAIL_INSTANCE_NUMB
2022,89,890124000312006010,397878,001, ,GCM27,UTLSTOR,192,207.69000244140625,2.0,1.0,8,4.230000019073486,,0,N,0,N/,0,0,1,1,1
2022,89,890126000216000010,398018,001, ,GCM16,GENOFF,728,112.41999816894533,1.0,1.0,8,,,0,N,0,N/,0,0,1,1,1
2022,89,890126000216000010,398018,001, ,GCM16,GENOFF,1334,112.41999816894533,1.0,1.0,12,,,0,N,0,N/,0,0,1,1,2
2022,89,890126000216000010,398018,001, ,GCM26,THEATRE,2576,131.22000122070312,1.0,1.0,8,,,0,N,0,N/,0,0,1,1,3
2022,89,890126000216000010,398018,000, ,GCM27,UTLSTOR,2036,39.68999862670898,1.0,1.0,9,,,0,N,0,N/,0,0,1,1,4
2022,89,890127310101000010,398143,001, ,GCM19,GENRET,1719,126.87000274658205,1.0,1.0,8,-5.0,,0,N,0,N/,0,0,3,3,1
2022,89,890133210102000010,398360,001, ,GCM26,THEATRE,2400,131.22000122070312,1.0,1.0,10,-7.309999943,,0,N,0,N/,0,0,1,1,1
2022,89,890221000102000024,398895,001, ,GCK00,GCK,1610,24.479999542236328,1.0,1.0,15,,,0,N,0,,0,0,9,9,1
2022,89,890222000102002024,398975,001, ,GCM27,UTLSTOR,200,214.6300048828125,2.0,1.0,10,4.230000019073486,,0,N,0,N/,0,0,3,3,1
2022,89,890224000101001013,419283,001, ,GCK00,GCK,2560,20.020000457763672,1.0,3.0,14,-4.960000038,,0,N,0,,0,0,5,5,1
2022,89,890224000205002013,419313,001, ,GCR08,GENOFF,1100,124.0199966430664,1.0,1.0,10,-6.199999809,,0,N,0,N/,0,0,1,1,1
2022,89,890224000307001013,419323,001, ,GCK00,GCK,480,57.43999862670898,1.0,1.0,9,-4.960000038,,0,N,0,,0,0,9,9,1
2022,89,890224000307001013,419324,001, ,GCK00,GCK,1920,22.950000762939453,1.0,3.0,16,-1.600000024,,0,N,0,,0,0,10,10,2
2022,89,890225000105002013,419381,001, ,GCK00,GCK,2100,22.950000762939453,1.0,1.0,10,-4.960000038,,0,N,0,,0,0,9,9,1
2022,89,890228000445000024,399153,001, ,GCI01,COMGAR,1200,111.6500015258789,1.0,1.0,12,,,0,N,0,,0,0,5,5,1
2022,89,890228310103000024,399161,001, ,GCK00,GCK,5376,17.12000084,1.0,1.0,16,,,0,N,0,,0,0,2,2,1
2022,89,890228310303000025,399185,001, ,GCK00,GCK,750,45.08000183105469,1.0,1.0,14,-1.600000024,,0,N,0,,0,0,2,2,1
2022,89,890228330102000025,399206,001, ,GCM27,UTLSTOR,384,152.1699981689453,1.0,1.0,9,,,0,N,0,N/,0,0,1,1,1
2022,89,890228330102000025,399206,000, ,GCM27,UTLSTOR,384,115.26000213623048,1.0,1.0,8,-1.330000043,,0,N,0,N/,0,0,1,1,2
2022,89,890228330105000025,399212,001, ,GCM27,UTLSTOR,936,110.52999877929688,1.0,1.0,10,-1.330000043,,0,N,0,N/,0,0,1,1,1
2022,89,890228330106000025,399213,002, ,GCM27,UTLSTOR,1200,77.52999877929688,1.0,1.0,10,-1.330000043,,0,N,0,N/,0,0,1,1,1
2022,89,890228330106000025,399213,001, ,GCM27,UTLSTOR,1200,96.65000153,1.0,1.0,10,-1.330000043,,0,N,0,N/,0,0,1,1,2
2022,89,890228330416000025,399263,001, ,GCM27,UTLSTOR,1418,82.76999664,1.0,1.0,10,-1.330000043,,0,N,0,N/,0,0,2,2,1
2022,89,890228330417000025,399264,002, ,GCM27,UTLSTOR,1320,69.95999908447266,1.0,1.0,10,-1.330000043,,0,N,0,N/,0,0,1,1,1
2022,89,890228330417000025,399264,001, ,GCI01,COMGAR,1360,71.90000153,1.0,1.0,12,,,0,N,0,,0,0,1,1,2
2022,89,890228330417000025,399264,001, ,GCM27,UTLSTOR,2744,55.400001525878906,1.0,1.0,12,,,0,N,0,N/,0,0,1,1,3
2022,89,890228330417000025,399264,001, ,GCK00,GCK,1792,19.38999938964844,1.0,1.0,14,,,0,N,0,,0,0,1,1,4
2022,89,890228330418000025,399267,001, ,GCI07,INDOFF,3599,103.13999938964844,2.0,1.0,11,-3.25999999,,0,N,0,,0,0,1,1,1
2022,89,890228330501000025,399269,001, ,GCR08,GENOFF,925,149.57000732421875,1.0,2.0,8,,,0,N,0,N/,0,0,1,1,1
2022,89,890228330610000025,399293,001, ,GCR08,GENOFF,3536,87.55000305175781,1.0,1.0,10,-7.300000191,,0,N,0,,0,0,1,1,1
2022,89,890228330610000025,399293,000, ,GCM27,UTLSTOR,3100,30.239999771118164,1.0,1.0,9,-1.330000043,,0,N,0,,0,0,1,1,2
2022,89,890228330611000024,399296,001, ,GCM27,UTLSTOR,1378,105.16000366210938,1.0,2.0,10,-1.330000043,,0,N,0,N/,0,0,3,3,1
2022,89,890228340407000025,399355,001, ,GCM26,THEATRE,3808,137.97000122070312,1.0,2.0,15,,,0,N,0,N/,0,0,1,1,1
2022,89,890228340407000025,399355,000, ,GCM16,GENOFF,3808,79.11000061035156,1.0,1.0,10,,,0,N,0,N/,0,0,1,1,2
2022,89,890228340417000025,399373,001, ,GCM27,UTLSTOR,1680,75.83000183105469,1.0,1.0,10,-1.330000043,,0,N,0,N/,0,0,1,1,1
2022,89,890228340502000025,399380,001, ,GCI10,SMSHOP,2808,61.95000076293945,1.0,1.0,10,,,0,N,0,,0,0,1,1,1
2022,89,890228340502000025,399380,001, ,GCK00,GCK,1500,17.12000084,1.0,1.0,10,,,0,N,0,,0,0,1,1,2
2022,89,890228340502000025,399380,001, ,GCI07,INDOFF,392,95.11000061035156,1.0,1.0,10,-4.769999981,,0,N,0,,0,0,1,1,3
2022,89,890228340513000025,399402,001, ,GCI10,SMSHOP,1666,73.52999877929688,1.0,1.0,8,4.230000019073486,,0,N,0,,0,0,3,3,1
2022,89,890228340513000025,399402,001, ,GCI13,LUTLSTOR,1336,65.58999633789062,1.0,1.0,8,-1.600000024,,0,N,0,,0,0,3,3,2
