ASSESSMENT_YEAR,COUNTY_NUMBER,PARCEL_NUMBER,BUILDING_NUMBER,PRICING_KEY_PREDOMINANT_USE,NUMBER_OF_FLOORS,TOTAL_SQUARE_FOOT_AREA,TOTAL_BASE_VALUE,PLUMBING_FIXTURES_VALUE,SPECIAL_FEATURES_VALUE,EXTERIOR_FEATURES_VALUE,IMPROVEMENT_INSTANCE_NUMBER,BUILDING_INSTANCE_NUMBER
2022,89,890124000312006010,397878,GCM27,1,192,35793,0,0,0,1,1
2022,89,890126000216000010,398018,GCM26,2,6674,532757,12800,0,8900,1,1
2022,89,890127310101000010,398143,GCM19,1,1719,172467,8000,0,5800,3,3
2022,89,890133210102000010,398360,GCM26,1,2400,232896,6400,0,0,1,1
2022,89,890221000102000024,398895,GCK00,1,1610,49981,0,0,0,9,9
2022,89,890222000102002024,398975,GCM27,1,200,40252,0,0,0,3,3
2022,89,890224000101001013,419283,GCK00,1,2560,65788,0,4810,0,5,5
2022,89,890224000205002013,419313,GCR08,1,1100,90574,0,0,8300,1,1
2022,89,890224000307001013,419323,GCK00,1,480,40242,0,0,0,9,9
2022,89,890224000307001013,419324,GCK00,1,1920,47678,0,0,0,10,10
2022,89,890225000105002013,419381,GCK00,1,2100,66951,1600,0,0,9,9
2022,89,890228000445000024,399153,GCI01,1,1200,115344,3200,0,0,5,5
2022,89,890228310103000024,399161,GCK00,1,5376,128256,3200,8000,0,2,2
2022,89,890228310303000025,399185,GCK00,1,750,37385,0,0,0,2,2
2022,89,890228330102000025,399206,GCM27,2,768,86438,0,0,0,1,1
2022,89,890228330105000025,399212,GCM27,1,936,81488,0,0,0,1,1
2022,89,890228330106000025,399213,GCM27,2,2400,164964,0,0,1000,1,1
2022,89,890228330416000025,399263,GCM27,1,1418,84584,0,0,0,2,2
2022,89,890228330417000025,399264,GCM27,2,7216,306881,4800,3940,0,1,1
2022,89,890228330418000025,399267,GCI07,1,3599,329806,6400,0,2600,1,1
2022,89,890228330501000025,399269,GCR08,1,925,138352,4800,0,0,1,1
