ASSESSMENT_YEAR,COUNTY_NUMBER,PARCEL_NUMBER,DWELLING_NUMBER,OCCUPANCY_CODE,STORY_CONFIGURATION_CODE,STORY_HEIGHT,PREDOMINANT_ROOFING_MATERIAL,HEATING_SYSTEM_CODE,CENTRAL_AIR_CONDITIONING,NUMBER_OF_FINISHED_ROOMS,ATTIC_CODE,ATTIC_BASE_AREA,ATTIC_FINISHED_LIVING_AREA,BASEMENT_CODE,BASEMENT_BASE_AREA,BASEMENT_FINISHED_LIVING_AREA,CRAWL_SPACE_CODE,CRAWL_SPACE_BASE_AREA,FLOORS_TOTAL_BASE_AREA,FLOORS_TOTAL_FINISHED_LIV_AREA,TOTAL_BASE_VALUE,ROW_TYPE_ADJUSTMENT,UNFINISHED_INTERIOR_VALUE_ADJ,EXTRA_LIVING_UNITS_VALUE_ADJ,REC_ROOM_VALUE_ADJ,LOFT_VALUE_ADJ,FIREPLACE_VALUE_ADJ,NO_HEATING_VALUE_ADJ,AIR_CONDITIONING_VALUE_ADJ,NO_ELECTRICAL_VALUE_ADJ,PLUMBING_VALUE_ADJ,GARAGE_VALUE_ADJ,EXTERIOR_FEATURES_VALUE_ADJ,TOTAL_BEDROOMS,NUMBER_OF_FAMILY_ROOMS,NUMBER_OF_DINING_ROOMS,NUMBER_OF_FULL_BATHS,NUMBER_OF_HALF_BATHS,TOTAL_PLUMBING_FIXTURES,MASONRY_FIREPLACE_STACKS,MASONRY_FIREPLACE_OPENINGS,STEEL_FIREPLACE_STACKS,STEEL_FIREPLACE_OPENINGS,INTEGRAL_GARAGE,ATTACHED_GARAGE,ATTACHED_CARPORT,BASEMENT_GARAGE,GARAGE_CAPACITY_CARS,GARAGE_SQFT,IMPROVEMENT_INSTANCE_NUMBER,DWELLING_INSTANCE_NUMBER
2022,89,890121000101001010,,1,1,1.0,1,2,N,7,0,0,0,4,898,0,0,0,898,898,99300,0,0,0,0,0,0,0,0,0,,2700.0,14600,2,0,0,1,0,5,0,0,0,0,N,N,N,Y,1,200,1,1
2022,89,890121000102000010,,1,1,1.0,1,1,Y,7,0,0,0,4,1120,0,0,0,1456,1456,128500,0,0,0,5200,0,0,0,3600,0,3200.0,2800.0,18300,3,1,0,2,0,9,0,0,0,0,N,N,N,Y,1,250,1,1
2022,89,890121000104000010,,1,1,2.0,1,1,Y,6,0,0,0,2,1080,0,2,1296,4192,4192,238100,0,0,0,0,0,4700,0,7800,0,4800.0,3700.0,20000,3,0,1,3,0,11,0,0,1,1,N,N,N,Y,2,450,1,1
2022,89,890121000105000010,,1,1,1.0,1,1,Y,6,0,0,0,4,1350,0,0,0,2700,2700,165500,0,0,0,0,0,0,0,4700,0,4000.0,,20200,3,0,0,2,1,10,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890121000105001010,,1,1,1.0,4,1,Y,6,0,0,0,1,425,0,3,1024,1526,1526,126200,0,0,0,0,0,0,0,3600,0,,,21400,2,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890121000105002010,,1,1,1.0,1,1,Y,8,0,0,0,4,1586,0,0,0,1586,1586,140300,0,0,0,0,0,0,0,3800,0,2400.0,,4200,3,1,1,2,0,8,0,0,0,0,N,N,N,N,0,0,5,5
2022,89,890121000105003010,,1,1,1.0,1,1,Y,5,0,0,0,0,0,0,0,0,1470,1470,111200,0,0,0,0,0,0,0,3600,0,5600.0,25300.0,3100,3,0,0,3,0,12,0,0,0,0,N,Y,N,N,4,870,1,1
2022,89,890121000106000010,,1,1,1.0,1,1,N,5,0,0,0,4,1072,0,0,0,1072,1072,120100,0,0,0,0,0,4500,0,0,0,,,13800,3,0,0,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890121000107000010,,1,1,1.0,1,1,Y,6,4,978,489,2,489,0,2,489,978,978,114800,0,0,0,0,0,0,0,2900,0,,,23200,2,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890121000209000010,,1,1,2.0,1,1,Y,13,0,0,0,1,328,0,3,2144,3784,3784,220000,0,0,0,0,0,0,0,7400,0,2400.0,,17600,3,1,1,2,0,8,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890121000210001010,,1,1,1.0,1,1,Y,5,0,0,0,4,2040,0,0,0,2040,2040,170300,0,0,0,0,0,0,0,4400,0,2400.0,18600.0,9800,3,0,0,2,0,8,0,0,0,0,N,Y,N,N,3,600,4,4
2022,89,890121000311000010,,1,1,2.0,1,1,N,8,0,0,0,2,420,0,2,644,1624,1624,135000,0,0,0,0,0,0,0,0,0,,21700.0,23200,5,0,1,1,0,5,0,0,0,0,N,Y,N,N,4,748,1,1
